X,Y,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,comment_,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
143.640059579,-38.195306156,11,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEEAC POLICE STATION,OPERATIONAL,,BEEAC,VICTORIA,3251,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.19530615599996,143.64005957900008,,,GAVIC424746874,6 COULSTON STREET,2,3251,BEEAC,0,-38.19530615999997,143.64005958000007
146.68887022,-36.358371903,12,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEECHWORTH POLICE STATION,OPERATIONAL,,BEECHWORTH,VICTORIA,3747,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.35837190299998,146.68887022,,,GAVIC420258032,102 FORD STREET,2,3747,BEECHWORTH,0,-36.35837189999995,146.68887021000012
145.354617715,-37.90808937,13,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BELGRAVE POLICE STATION,OPERATIONAL,,BELGRAVE,VICTORIA,3160,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.90808936999997,145.35461771500002,,,GAVIC410844880,2 ENA ROAD,2,3160,BELGRAVE,0,-37.90808935999996,145.35461770000006
145.975297955,-36.555603587,14,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENALLA POLICE STATION,OPERATIONAL,,BENALLA,VICTORIA,3672,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.55560358699995,145.9752979550001,,,GAVIC423935362,17 BRIDGE STREET,0,3672,BENALLA,36,-36.55551829999996,145.97568009000008
144.266989362,-36.766989644,15,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDIGO POLICE STATION,OPERATIONAL,,BENDIGO,VICTORIA,3550,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.76698964399998,144.26698936200012,,,GAVIC410877954,221 CALDER HIGHWAY,0,3550,BENDIGO,0,-36.76698963999996,144.26698935000002
148.884912486,-37.147072415,16,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDOC POLICE STATION,OPERATIONAL,,BENDOC,VICTORIA,3888,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.14707241499997,148.88491248600008,,,GAVIC424489800,24 DOWLING STREET,1,3888,BENDOC,8,-37.14701130999998,148.8848571300001
147.099325817,-36.12547928,17,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BETHANGA POLICE STATION,OPERATIONAL,,BETHANGA,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.12547927999998,147.09932581700002,,,GAVIC422128362,1 BETHANGA BAY ROAD,2,3691,BETHANGA,19,-36.12562429999997,147.0992088900001
142.419499446,-35.943240164,18,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEULAH POLICE STATION,OPERATIONAL,,BEULAH,VICTORIA,3395,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-35.943240163999974,142.41949944600003,,,GAVIC424033555,21-23 PHILLIPS STREET,1,3395,BEULAH,36,-35.94299240999993,142.41925073000004
142.917322285,-35.979800145,19,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRCHIP POLICE STATION,OPERATIONAL,,BIRCHIP,VICTORIA,3483,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-35.979800144999956,142.91732228500007,,,GAVIC424444389,95 CUMMING AVENUE,2,3483,BIRCHIP,33,-35.979847209999946,142.91768231000003
143.782711014,-38.336298481,20,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRREGURRA POLICE STATION,OPERATIONAL,,BIRREGURRA,VICTORIA,3242,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.33629848099997,143.78271101400003,,,GAVIC420127116,89 MAIN STREET,2,3242,BIRREGURRA,0,-38.33629847999998,143.78271100000006
146.272320664,-38.3804426519999,21,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOOLARRA POLICE STATION,OPERATIONAL,,BOOLARRA,VICTORIA,3870,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.38044265199994,146.27232066400006,,,GAVIC419961696,29 TARWIN STREET,1,3870,BOOLARRA,0,-38.380442649999964,146.2723206600001
143.723409189,-36.116062863,22,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOORT POLICE STATION,OPERATIONAL,,BOORT,VICTORIA,3537,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.11606286299997,143.7234091890001,,,GAVIC425690072,4 STATION STREET,0,3537,BOORT,0,-36.11606285999994,143.7234091900001
145.285487745,-37.859934558,23,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BORONIA POLICE STATION,OPERATIONAL,,BORONIA,VICTORIA,3155,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.85993455799996,145.28548774500007,,,GAVIC413637352,259 DORSET ROAD,1,3155,BORONIA,0,-37.859934549999934,145.28548774000012
145.127298272,-37.8180849829999,24,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOX HILL POLICE STATION,OPERATIONAL,,BOX HILL,VICTORIA,3128,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.81808498299995,145.12729827200008,,,GAVIC413396565,1 KANGERONG ROAD,2,3128,BOX HILL,68,-37.817476659999954,145.12742475000005
144.993567885,-37.8040432839999,25,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,,ABBOTSFORD,VICTORIA,3067,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.80404328399993,144.99356788500006,,,GAVIC413094178,4 EDDY COURT,1,3067,ABBOTSFORD,0,-37.80404327999997,144.9935678800001
145.707770889,-37.188634559,26,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.18863455899998,145.70777088900002,,,GAVIC424537965,33 GRANT STREET,1,3714,ALEXANDRA,0,-37.18863454999996,145.70777089000012
144.84472483,-37.836091896,27,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALTONA NORTH POLICE STATION,OPERATIONAL,,ALTONA NORTH,VICTORIA,3025,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.83609189599997,144.84472483000002,,,GAVIC420728108,72 COOPER AVENUE,1,3025,ALTONA NORTH,44,-37.835713529999964,144.84488485000008
144.192228145,-38.4033986389999,28,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ANGLESEA POLICE STATION,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.40339863899993,144.19222814500006,,,GAVIC419961338,55 GREAT OCEAN ROAD,1,3230,ANGLESEA,0,-38.40339863999998,144.1922281400001
143.670381598,-38.759664401,29,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APOLLO BAY POLICE STATION,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.75966440099995,143.67038159800006,,,GAVIC423973401,31 NELSON STREET,1,3233,APOLLO BAY,0,-38.75966439999996,143.67038160000004
141.083618543,-36.967060596,30,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APSLEY POLICE STATION,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.96706059599995,141.08361854300006,,,GAVIC410750088,17 SPLATT STREET,2,3319,APSLEY,0,-36.96706059999997,141.0836185400001
142.926722421,-37.2842431889999,31,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ARARAT POLICE STATION,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.28424318899994,142.92672242100002,,,GAVIC421247221,1 LIGAR STREET,1,3377,ARARAT,0,-37.284243189999984,142.92672241000002
145.079709691,-37.8628742719999,32,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ASHBURTON POLICE STATION,OPERATIONAL,,ASHBURTON,VICTORIA,3147,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.86287427199994,145.07970969100006,,,GAVIC419729327,1 Y STREET,2,3147,ASHBURTON,0,-37.86287399999998,145.0797090000001
143.474095642,-37.0871701369999,33,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVOCA POLICE STATION,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.08717013699993,143.47409564200007,,AVOCA POLICE STATION,GAVIC425278740,146 HIGH STREET,0,3467,AVOCA,0,-37.087170139999955,143.4740956400001
144.859440984,-37.755729787,34,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVONDALE HEIGHTS POLICE STATION,OPERATIONAL,,AVONDALE HEIGHTS,VICTORIA,3034,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.75572978699995,144.85944098400012,,,GAVIC419726700,162 MILITARY ROAD,2,3034,AVONDALE HEIGHTS,0,-37.755728999999974,144.85944000000006
144.501567859,-36.786992829,35,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AXEDALE POLICE STATION,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.786992828999985,144.50156785900003,,,GAVIC421311035,86 MCIVOR HIGHWAY,2,3551,AXEDALE,0,-36.786992829999974,144.50156785000001
144.436020466,-37.675788068,36,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BACCHUS MARSH POLICE STATION,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.675788067999974,144.43602046600006,,,GAVIC421637064,119 MAIN STREET,1,3340,BACCHUS MARSH,0,-37.675788059999945,144.43602046
147.635958037,-37.8258639389999,37,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BAIRNSDALE POLICE STATION,OPERATIONAL,,BAIRNSDALE,VICTORIA,3875,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.82586393899993,147.63595803700002,,RIVERHILL MOTOR INN,GAVIC424450141,45 MAIN STREET,2,3875,BAIRNSDALE,0,-37.82586393999998,147.6359580400001
144.220889177,-37.599951169,38,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALLAN POLICE STATION,OPERATIONAL,,BALLAN,VICTORIA,3342,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.59995116899995,144.22088917700012,,,GAVIC423829408,174-176 INGLIS STREET,1,3342,BALLAN,0,-37.59995115999993,144.22088918000009
143.859119187,-37.564186266,39,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALLARAT POLICE STATION,OPERATIONAL,,BALLARAT CENTRAL,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.56418626599998,143.85911918700003,,POLICE COMPLEX - BALLARAT,GAVIC425225026,20 DANA STREET,0,3350,BALLARAT CENTRAL,45,-37.56420627999995,143.85962454000003
141.832320651,-37.2522101389999,40,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BALMORAL POLICE STATION,OPERATIONAL,,BALMORAL,VICTORIA,3407,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.25221013899994,141.83232065100003,,BALMORAL POLICE STATION,GAVIC424746463,78 COLERAINE ROAD,2,3407,BALMORAL,0,-37.25221013999993,141.83232065000004
145.572693823,-36.751731513,41,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,EUROA POLICE STATION,OPERATIONAL,,EUROA,VICTORIA,3666,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.75173151299998,145.572693823,,,GAVIC411388308,40 KIRKLAND AVENUE,2,3666,EUROA,0,-36.75173149999995,145.57269381000003
147.282683998,-36.863572001,42,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FALLS CREEK POLICE STATION,OPERATIONAL,,FALLS CREEK,VICTORIA,3699,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.863572000999966,147.28268399800004,,POLICE,GAVIC425668356,19 BOGONG HIGH PLAINS ROAD,1,3699,FALLS CREEK,4,-36.86357347999996,147.28263470000002
144.979131553,-37.8022218749999,43,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FITZROY POLICE STATION,OPERATIONAL,,FITZROY,VICTORIA,3065,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.80222187499993,144.97913155300012,,,GAVIC413108290,201 NAPIER STREET,1,3065,FITZROY,69,-37.80212026999993,144.97990104000007
144.932149807,-37.785119107,44,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FLEMINGTON POLICE STATION,OPERATIONAL,,FLEMINGTON,VICTORIA,3031,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.78511910699996,144.9321498070001,,,GAVIC419876644,30 WELLINGTON STREET,2,3031,FLEMINGTON,0,-37.78511899999995,144.9321490000001
144.901372799,-37.8038670129999,45,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FOOTSCRAY POLICE STATION,OPERATIONAL,,FOOTSCRAY,VICTORIA,3011,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.803867012999945,144.90137279900011,,,GAVIC425084870,66 HYDE STREET,0,3011,FOOTSCRAY,0,-37.803867009999976,144.9013728000001
143.716627395,-38.521024809,46,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FORREST POLICE STATION,OPERATIONAL,,FORREST,VICTORIA,3236,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.52102480899998,143.71662739500005,,,GAVIC411396383,45 STATION STREET,2,3236,FORREST,0,-38.521024799999964,143.7166274000001
146.202435454,-38.652145914,47,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FOSTER POLICE STATION,OPERATIONAL,,FOSTER,VICTORIA,3960,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.65214591399996,146.202435454,,,GAVIC424084764,69-71 MAIN STREET,0,3960,FOSTER,0,-38.65214589999994,146.20243545000005
145.124667023,-38.138900763,48,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,FRANKSTON POLICE STATION,OPERATIONAL,,FRANKSTON,VICTORIA,3199,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.13890076299998,145.12466702300003,,,GAVIC420996576,15 FLETCHER ROAD,2,3199,FRANKSTON,0,-38.13890072999993,145.12466682000002
141.40602714,-37.585324516,49,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,CASTERTON POLICE STATION,OPERATIONAL,,CASTERTON,VICTORIA,3311,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.58532451599996,141.4060271400001,,,GAVIC414143654,2 JACKSON STREET,1,3311,CASTERTON,0,-37.585324509999964,141.4060271400001
144.21936548,-37.063730504,50,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,CASTLEMAINE POLICE STATION,OPERATIONAL,,CASTLEMAINE,VICTORIA,3450,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.06373050399998,144.21936548000008,,,GAVIC421496005,32 TEMPLETON STREET,2,3450,CASTLEMAINE,0,-37.063730609999936,144.21936561000007
145.023271263,-37.8812935789999,51,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,CAULFIELD POLICE STATION,OPERATIONAL,,CAULFIELD,VICTORIA,3162,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.88129357899993,145.02327126300008,,,GAVIC420310069,285-289 HAWTHORN ROAD,1,3162,CAULFIELD,29,-37.88103529999995,145.02331120000008
142.040410388,-37.527204948,52,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,CAVENDISH POLICE STATION,OPERATIONAL,,CAVENDISH,VICTORIA,3314,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.52720494799996,142.04041038800005,,,GAVIC424917194,27 SCOTT STREET,2,3314,CAVENDISH,0,-37.52720494999994,142.04041039000003
143.34837347,-36.269605407,53,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,CHARLTON POLICE STATION,OPERATIONAL,,CHARLTON,VICTORIA,3525,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.26960540699997,143.34837347000007,,,GAVIC420631268,12 CAMP STREET,2,3525,CHARLTON,0,-36.26960539999993,143.34837346000006
